Gene name,Mutated samples,Samples tested
MYO16_ENST00000357550,67,809
AFF3_ENST00000317233,67,809
FRMPD4,67,809
FAM172A_ENST00000509739,67,809
KIAA1217_ENST00000376452,67,809
CELF2_ENST00000631816,67,809
CDC42BPA,67,809
CARMIL1,67,809
PTPRM_ENST00000332175,67,809
CDC42BPA_ENST00000334218,67,809
HBE1,67,809
CNTNAP5,67,834
DOCK4,67,807
CDH12_ENST00000504376,67,809
TRIM2,67,809
KSR2_ENST00000339824,66,809
GRIK2_ENST00000318991,66,809
NIPBL,66,809
NTRK3_ENST00000357724,66,1122
LPP_ENST00000448637,66,809
LTBP1,66,809
CTNND2,66,809
NTRK3_ENST00000355254,66,1122
GRIK2_ENST00000369134,66,809
ANK3,66,809
PTPRM_ENST00000400053,66,809
RALGAPA2,66,807
PKHD1_ENST00000340994,66,815
NTRK3,66,1122
SYNE2_ENST00000554584,66,809
DSCAML1_ENST00000527706,66,809
PDZRN3,66,809
MDGA2_ENST00000357362,66,809
CELF2_ENST00000632728,66,809
HDAC9_ENST00000406451,66,809
NRXN1_ENST00000628515,66,809
PTPRM_ENST00000400060,66,809
ZFPM2_ENST00000520492,66,809
TMEM132D,66,809
CNTN4_ENST00000418658,66,809
CNTN5,66,834
GALNT17,66,809
DSCAML1,66,809
GRIK2_ENST00000369137,66,809
DLG2_ENST00000280241,65,809
PPFIA2_ENST00000550359,65,809
SVEP1_ENST00000401783,65,809
GRID2,65,809
CACNA1A_ENST00000637432,65,807
CACNA1A_ENST00000360228,65,807
CFAP46,65,809
CACNA1A_ENST00000636389,65,807
CACNA1A_ENST00000635727,65,807
LRBA_ENST00000510413,65,809
ADAM12_ENST00000368676,65,810
COL5A1_ENST00000618395,65,809
CACNA1A_ENST00000637276,65,807
NEBL_ENST00000417816,65,809
CELF2_ENST00000633077,65,809
CTNNB1,65,2477
NTRK3_ENST00000626019,65,1122
CDC42BPA_ENST00000366767,65,809
CACNA1A_ENST00000637736,65,807
LRBA,65,809
ACOXL,65,809
FAM135B,65,809
CACNA1A_ENST00000637769,65,807
RIMS2_ENST00000262231,65,809
CNTN5_ENST00000418526,65,834
CACNA1A_ENST00000614285,65,807
ZNF804B,65,809
DGKB,65,809
GRID2_ENST00000510992,65,809
MAML3,65,807
CACNA1A_ENST00000636012,65,807
CELF2_ENST00000632065,65,809
NTRK3_ENST00000629765,65,1122
CACNA1A_ENST00000638009,65,807
COL5A1,65,809
UNC5D_ENST00000453357,65,834
CNTN5_ENST00000528682,65,834
RIMS2_ENST00000507740,65,809
ZNF407,65,809
CACNA1A_ENST00000637927,65,807
TRIM5_ENST00000380027,65,809
CACNA1A_ENST00000636549,65,807
NTRK3_ENST00000557856,65,1122
SVEP1,65,809
CACNA1A,65,807
CACNA1A_ENST00000573710,65,807
AL132671.2,65,812
CNTN4,65,809
HDAC9_ENST00000401921,65,809
CACNA1A_ENST00000635895,65,807
